clust_ID,X_position,Y_position,Structure,NPHS2 expression
1,14979.63086,34301.1875,0.850061719,0.774722148
1,14009.23438,25684.08594,1.129973188,0.031151573
1,5681.730957,34546.71484,0.922345167,0.414283049
1,15193.03809,31978.75,1.135086083,0.634689818
1,11949.53027,18628.91992,0.87456204,0.018141642
1,12115.06055,13689.83984,0.84700861,0.069767119
2,22603,45408,2.142001767,0.546475204
2,24392,40299,1.868133335,0.867161139
2,25466,30717,2.031146967,0.418894897
2,24720,28815,2.12367134,0.06858107
2,22203,15963,1.986081781,0.153158793
2,27087,25017,2.166758903,0.930819131
3,26851,28361,2.948027263,0.394001643
3,24346,17722,2.908904091,0.095335099
3,26084,23659,3.080723065,0.655627689
3,26243,37434,3.153688339,0.282865488
3,26129,34193,2.928777146,0.74065186
3,24503,45405,2.806183685,0.148897513
3,25820,20064,3.235432064,0.963070376
3,22380,12822,3.050688486,0.561434087
3,22265,10657,2.835466403,0.206038673
3,20699,11488,3.027350163,0.285014532
3,24683,20153,3.018733635,0.947454935
3,22899,42184,2.819018685,0.607229363
4,21243,10523,4.08763349,0.650479248
4,27190.16016,32208.08594,4.042544156,0.072594998
4,27908.96484,29119.44141,4.007859416,0.041170995
4,21749.88672,19472.33984,4.145622835,0.009303226
4,22428.17773,25013.04297,3.972995073,0.173502629
4,26584.99414,40255.90234,3.770743823,0.333435986
5,18849,32808,5.014652595,0.191446786
5,18796,21810,5.040051801,0.811001957
5,6932,42592,5.003794502,0.059958838
5,22383,33147,5.086143593,0.408884699
5,19649,25297,5.145227027,0.056356393
5,18419,18916,5.187652063,0.557047675
6,20175,23437,6.013674389,0.483740505
6,17405,14853,6.138442592,0.505491371
6,20110,35442,6.184597982,0.460783049
6,10619,40266,6.096555527,0.512281326
6,6482,40414,5.851229061,0.296419103
6,5257,39912,5.842373521,0.951565575
6,16654,38311,6.058359521,0.19341458
6,20360,36848,6.192660379,0.812546711
6,17592,22631,6.054508036,0.556317919
6,17998,20714,5.81138127,0.024265624
6,15352,19533,6.247999845,0.458780705
6,11209,43248,6.153900259,0.631878827
7,4875.396973,29559.11328,7.119708995,0.23900724
7,5312.818359,31624.17188,7.077789461,0.541985395
7,5641.774414,26938.92383,6.997777511,0.80031495
7,7396.575195,17003.01172,6.908919255,0.545688164
7,4584.456055,20115.94141,7.033313836,0.470642171
7,7311.902832,32418.91797,7.02725269,0.937165899
8,17306.33398,40233.23828,7.936669262,0.63987987
8,18649,42793,7.901651029,0.860865167
8,16782,43300,8.087515292,0.413772538
8,21063,12979,8.103288556,0.030683364
8,20593,14595,8.051360608,0.761978252
8,23468,15391,7.758152027,0.413692383
